SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-14-2017,Single Family Residential,522 Kenmore Ave,Oakland,CA,94610,1560000,3,3.0,Grand Lake,2947,5025,1920,57,529,,Sold,,,http://www.redfin.com/CA/Oakland/522-Kenmore-Ave-94610/home/1340098,EBRD/CCAR/Bay East,40771846,N,Y,37.8166286,-122.2389687
PAST SALE,May-26-2017,Single Family Residential,553 Kenmore Ave,Oakland,CA,94610,1325000,3,2.0,Lakeshore/Grand,1640,8550,1952,15,808,,Sold,,,http://www.redfin.com/CA/Oakland/553-Kenmore-Ave-94610/home/526975,EBRD/CCAR/Bay East,40779161,Y,Y,37.8158995,-122.2401
PAST SALE,October-15-2015,Single Family Residential,3858 BALFOUR Ave,Oakland,CA,94610,1802000,4,2.5,Crocker Hghlands,2728,8023,1918,604,661,,Sold,,,http://www.redfin.com/CA/Oakland/3858-Balfour-Ave-94610/home/762711,EBRD/CCAR/Bay East,40714982,N,Y,37.8138074,-122.2374594
PAST SALE,May-4-2016,Single Family Residential,512 Midcrest Rd,Oakland,CA,94610,800000,3,1.5,Crocker Hghlands,1506,3608,1932,402,531,,Sold,,,http://www.redfin.com/CA/Oakland/512-Midcrest-Rd-94610/home/526874,EBRD/CCAR/Bay East,40733750,N,Y,37.8113121,-122.2269097
PAST SALE,June-27-2014,Single Family Residential,912 UNDERHILLS Rd,Oakland,CA,94610-2527,875000,3,2.0,Crocker Hghlands,1767,4949,1923,1079,495,14,Sold,,,http://www.redfin.com/CA/Oakland/912-Underhills-Rd-94610/home/1861459,EBRD/CCAR/Bay East,40657683,N,Y,37.8080651,-122.2302138
PAST SALE,August-26-2016,Single Family Residential,538 KENMORE Ave,Oakland,CA,94610,812000,3,1.0,Grand Lake,1172,2856,1922,288,693,,Sold,,,http://www.redfin.com/CA/Oakland/538-Kenmore-Ave-94610/home/549258,EBRD/CCAR/Bay East,40749257,N,Y,37.8162845,-122.2394004
PAST SALE,July-28-2015,Single Family Residential,720 Calmar Ave,Oakland,CA,94610,1650000,4,3.5,Crocker Hghlands,2891,5062,1985,683,571,,Sold,,,http://www.redfin.com/CA/Oakland/720-Calmar-Ave-94610/home/1830725,EBRD/CCAR/Bay East,40703988,N,Y,37.8124147,-122.237017
PAST SALE,February-11-2015,Single Family Residential,1386 Holman Rd,Oakland,CA,94610-2543,930000,4,2.0,Crocker Hghlands,1936,3360,1926,850,480,14,Sold,,,http://www.redfin.com/CA/Oakland/1386-Holman-Rd-94610/home/1880754,EBRD/CCAR/Bay East,40683402,N,Y,37.8074002,-122.2266818
PAST SALE,November-10-2016,Single Family Residential,1259 Holman Rd,Oakland,CA,94610,1180000,4,3.0,Crocker Hghlands,1760,3432,1923,212,670,15,Sold,,,http://www.redfin.com/CA/Oakland/1259-Holman-Rd-94610/home/1483093,EBRD/CCAR/Bay East,40761640,Y,Y,37.8065133,-122.2294859
PAST SALE,April-9-2015,Single Family Residential,915 MANDANA Blvd,Oakland,CA,94610,1275000,2,2.0,Crocker Hghlands,1366,4200,1935,793,933,,Sold,,,http://www.redfin.com/CA/Oakland/915-Mandana-Blvd-94610/home/526895,EBRD/CCAR/Bay East,40690428,N,Y,37.8121893,-122.229173
PAST SALE,February-27-2015,Single Family Residential,11 DOWNEY Pl,Oakland,CA,94610-1809,1625000,4,3.5,Crocker Hghlands,2508,7055,1929,834,648,,Sold,,,http://www.redfin.com/CA/Oakland/11-Downey-Pl-94610/home/879358,EBRD/CCAR/Bay East,40685392,N,Y,37.8130886,-122.2225809
PAST SALE,March-31-2015,Condo/Co-op,742 WESLEY Way Unit 2D,Oakland,CA,94610,650000,2,2.0,Lakeshore,1300,,1981,802,500,532,Sold,,,http://www.redfin.com/CA/Oakland/742-Wesley-Way-94610/unit-2D/home/1141184,EBRD/CCAR/Bay East,40688980,N,Y,37.8101295,-122.2431146
PAST SALE,,Single Family Residential,700 Trestle Glen Rd,Oakland,CA,94610,1403000,3,1.0,,2031,5150,1925,,691,,,,,http://www.redfin.com/CA/Oakland/700-Trestle-Glen-Rd-94610/home/1816071,,,N,Y,37.8097381,-122.2412839
PAST SALE,September-8-2014,Single Family Residential,515 KENMORE Ave,Oakland,CA,94610-1617,976500,3,2.5,Upper Lakeshore,1728,4556,1932,1006,565,,Sold,,,http://www.redfin.com/CA/Oakland/515-Kenmore-Ave-94610/home/1545908,EBRD/CCAR/Bay East,40668223,N,Y,37.8169177,-122.239242
PAST SALE,July-6-2015,Single Family Residential,1018 WARFIELD Ave,Oakland,CA,94610-1612,1040000,2,1.5,Lakeshore,1248,8000,1924,705,833,,Sold,,,http://www.redfin.com/CA/Oakland/1018-Warfield-Ave-94610/home/526765,EBRD/CCAR/Bay East,40700742,N,Y,37.8162415,-122.2408416
PAST SALE,July-27-2016,Single Family Residential,580 Kenmore Ave,Oakland,CA,94610,1150000,3,1.0,Upper Lakeshore,1523,6600,1925,318,755,,Sold,,,http://www.redfin.com/CA/Oakland/580-Kenmore-Ave-94610/home/570098,EBRD/CCAR/Bay East,40740015,Y,Y,37.8150026,-122.2395221
PAST SALE,October-2-2015,Single Family Residential,4233 BALFOUR Ave,Oakland,CA,94610,1705000,4,3.5,Crocker Hghlands,2832,4500,1923,617,602,,Sold,,,http://www.redfin.com/CA/Oakland/4233-Balfour-Ave-94610/home/1444228,EBRD/CCAR/Bay East,40714215,N,Y,37.8141206,-122.2324173
PAST SALE,May-24-2016,Single Family Residential,716 CALMAR Ave,Oakland,CA,94610,1400000,5,4.5,Crocker Hghlands,3932,5060,1914,382,356,,Sold,,,http://www.redfin.com/CA/Oakland/716-Calmar-Ave-94610/home/527033,EBRD/CCAR/Bay East,40733669,N,Y,37.8123997,-122.2371887
PAST SALE,May-2-2016,Single Family Residential,683 MANDANA Blvd,Oakland,CA,94610,2250000,5,4.5,Crocker Hghlands,3739,5750,1914,404,602,16,Sold,,,http://www.redfin.com/CA/Oakland/683-Mandana-Blvd-94610/home/1910032,EBRD/CCAR/Bay East,40735218,N,Y,37.8102176,-122.2379727
PAST SALE,December-5-2014,Single Family Residential,762 MANDANA Blvd,Oakland,CA,94610-2427,911000,3,2.0,Crocker Hghlands,1551,6426,1922,918,587,,Sold,,,http://www.redfin.com/CA/Oakland/762-Mandana-Blvd-94610/home/1774107,EBRD/CCAR/Bay East,40679232,N,Y,37.8114379,-122.2346062
PAST SALE,August-15-2014,Single Family Residential,926 ROSEMOUNT Rd,Oakland,CA,94610-2411,783000,3,2.0,Crocker Hghlands,1854,5459,1927,1030,422,14,Sold,,,http://www.redfin.com/CA/Oakland/926-Rosemount-Rd-94610/home/771128,EBRD/CCAR/Bay East,40662546,N,Y,37.8091863,-122.2331415
PAST SALE,June-28-2016,Single Family Residential,947 LARKSPUR Rd,Oakland,CA,94610,1860000,3,2.5,Crocker Hghlands,2383,5980,1924,347,781,14,Sold,,,http://www.redfin.com/CA/Oakland/947-Larkspur-Rd-94610/home/1924579,EBRD/CCAR/Bay East,40743333,N,Y,37.8084794,-122.232183
PAST SALE,November-24-2014,Single Family Residential,1090 TRESTLE GLEN Rd,Oakland,CA,94610-2547,1350000,4,2.5,Crocker Hghlands,2177,6800,1924,929,620,13,Sold,,,http://www.redfin.com/CA/Oakland/1090-Trestle-Glen-Rd-94610/home/630217,EBRD/CCAR/Bay East,40677809,N,Y,37.8072488,-122.2339638
PAST SALE,December-16-2014,Single Family Residential,855 Longridge,Oakland,CA,94610,1775000,4,3.5,Lakeshore,,6500,1927,907,,,Sold,,,http://www.redfin.com/CA/Oakland/855-Longridge-Rd-94610/home/1095177,EBRD/CCAR/Bay East,40677813,N,Y,37.8092506,-122.2356913
PAST SALE,May-4-2016,Single Family Residential,759 MANDANA Blvd,Oakland,CA,94610,1683000,5,3.5,Crocker Hghlands,3104,6440,1918,402,542,16,Sold,,,http://www.redfin.com/CA/Oakland/759-Mandana-Blvd-94610/home/1687918,EBRD/CCAR/Bay East,40733627,N,Y,37.8105902,-122.2347715
PAST SALE,April-8-2016,Single Family Residential,697 SANTA RAY Ave,Oakland,CA,94610,1420000,5,2.5,Crocker Hghlands,2571,6200,1925,428,552,,Sold,,,http://www.redfin.com/CA/Oakland/697-Santa-Ray-Ave-94610/home/1754493,EBRD/CCAR/Bay East,40727642,N,Y,37.8111877,-122.2370661
PAST SALE,October-14-2016,Single Family Residential,733 CARLSTON Ave,Oakland,CA,94610-2424,1350000,4,2.5,Crocker Hghlands,2532,4130,1926,239,533,15,Sold,,,http://www.redfin.com/CA/Oakland/733-Carlston-Ave-94610/home/1924582,EBRD/CCAR/Bay East,40756151,N,Y,37.8114343,-122.2309907
PAST SALE,October-27-2015,Single Family Residential,4266 Balfour Ave,Oakland,CA,94610,1549000,4,3.5,Crocker Hghlands,2400,5586,2015,592,645,,Sold,,,http://www.redfin.com/CA/Oakland/4266-Balfour-Ave-94610/home/1061869,EBRD/CCAR/Bay East,40715134,N,Y,37.813915,-122.2316424
PAST SALE,June-5-2015,Single Family Residential,889 LONGRIDGE Rd,Oakland,CA,94610,1802000,4,3.0,Crocker Hghlands,2514,4947,1926,736,717,14,Sold,,,http://www.redfin.com/CA/Oakland/889-Longridge-Rd-94610/home/1194133,EBRD/CCAR/Bay East,40696049,N,Y,37.8094389,-122.2344596
PAST SALE,November-19-2015,Single Family Residential,712 MANDANA Blvd,Oakland,CA,94610,925000,2,1.0,Grand Lake,1400,5000,1922,569,661,,Sold,,,http://www.redfin.com/CA/Oakland/712-Mandana-Blvd-94610/home/1640959,EBRD/CCAR/Bay East,40718273,N,Y,37.8107954,-122.2366781
PAST SALE,June-18-2014,Single Family Residential,4242 BALFOUR Ave,Oakland,CA,94610-1750,897000,4,3.0,Lakeshore,2114,5200,1915,1088,424,,Sold,,,http://www.redfin.com/CA/Oakland/4242-Balfour-Ave-94610/home/658957,EBRD/CCAR/Bay East,40646790,N,Y,37.8138354,-122.2321614
PAST SALE,July-2-2014,Single Family Residential,860 Paloma Ave,Oakland,CA,94610,1300000,3,2.5,Crocker Hghlands,1984,6180,1965,1074,655,,Sold,,,http://www.redfin.com/CA/Oakland/860-Paloma-Ave-94610/home/1039835,EBRD/CCAR/Bay East,40660657,N,Y,37.8132713,-122.2357951
PAST SALE,October-26-2016,Single Family Residential,1129 CLARENDON Cres,Oakland,CA,94610,3030000,5,3.5,Crocker Hghlands,4176,13148,1916,227,726,,Sold,,,http://www.redfin.com/CA/Oakland/1129-Clarendon-Cres-94610/home/1410900,EBRD/CCAR/Bay East,40757124,N,Y,37.8128307,-122.2244304
PAST SALE,April-9-2015,Single Family Residential,1101 CLARENDON Cres,Oakland,CA,94610,2200000,6,3.5,Crocker Hghlands,3646,6500,1924,793,603,,Sold,,,http://www.redfin.com/CA/Oakland/1101-Clarendon-Cres-94610/home/526876,EBRD/CCAR/Bay East,40691270,N,Y,37.8123768,-122.2254897
